"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
254,"SHLD","Sears",2012,2013,"22/04/2013",0,"none",788,"PORT","Arkansas","Illinois"
256,"IBE","Iberdola USA",2013,2013,"16/04/2013",0,"none",5100,"HACK","Maine","Maine"
258,"ADBE","Adobe",2013,2013,"09/05/2013",0,"none",160000,"HACK","Washington","California"
260,"FB","Facebook",2013,2013,"21/06/2013",0,"none",6000000,"DISC","California","California"
265,"C","Citigroup",2013,2013,"17/07/2013",0,"none",146000,"DISC","New York","New York"
268,"NOC","Northrop Grunman",2013,2013,"09/08/2013",0,"none",70000,"HACK","Georgia","Virginia"
270,"GPS","Gap",2012,2013,"16/07/2013",0,"none",20,"DISC","California","California"
272,"ADBE","Adobe",2013,2013,"03/10/2013",0,"none",2900000,"HACK","California","California"
273,"DENN","Denny's",2013,2013,"30/09/2013",0,"none",200,"PHYS","Arizona","California"
276,"FB","Facebook",2013,2013,"04/12/2013",0,"none",2000000,"HACK","California","California"
277,"JPM","JPMorgan Chase",2013,2013,"05/12/2013",0,"none",465000,"HACK","New York","New York"
280,"TGT","Target Corp.",2012,2013,"13/12/2013",0,"none",40000000,"HACK","Minnesota","Minnesota"
286,"SBH","Sally Beauty Supply",2014,2014,"05/03/2014",0,"none",25000,"HACK","Texas","Texas"
293,"EBAY","Ebay",2014,2014,"21/05/2014",0,"none",145000000,"HACK","California","California"
295,"LOW","Lowes Corporation",2013,2014,"22/05/2014",0,"none",35000,"DISC","North Carolina","North Carolina"
297,"HNFSB","Hanover Foods Corporation",2013,2014,"21/05/2014",0,"none",5867,"DISC","Pennsylvania","Pennsylvania"
303,"RAD","Rite Aid Pharmacy",2013,2014,"30/07/2014",0,"none",521,"PHYS","Washington","Pennsylvania"
306,"JPM","J.P Morgan Chase",2014,2014,"27/08/2014",0,"none",76000000,"HACK","New York","New York"
308,"HD","The Home Depot",2013,2014,"02/09/2014",0,"none",56000000,"HACK","Georgia","Georgia"
310,"T","AT&T",2014,2014,"06/10/2014",0,"none",1600,"INSD","Texas","Texas"
312,"SPLS","Staples Inc.",2013,2014,"20/10/2014",0,"none",1200000,"HACK","Massachusetts","Massachusetts"
314,"SNE","Sony Pictures",2014,2014,"24/11/2014",0,"none",47000,"HACK","New York","New York"
317,"MS","Morgan Stanley",2015,2015,"05/01/2015",0,"none",350000,"INSD","New York","New York"
319,"WMT","Wal-Mart, Sam's Club",2009,2010,"07/06/2010",1,"M&A",117,"HACK","Arkansas","Arkansas"
320,"SAIC","Science Applications International Corp. (SAIC)",2004,2005,"12/02/2005",1,"Investigation",45000,"STAT","California","Virginia"
321,"DSW","DSW Shoe Warehouse, Retail Ventures",2005,2005,"08/03/2005",1,"Statement",1400000,"HACK","Ohio","Ohio"
322,"RL","Polo Ralph Lauren, HSBC",2004,2005,"15/04/2005",1,"Investigation",180000,"HACK","New York","New York"
323,"AMTD","TD Ameritrade",2005,2005,"20/04/2005",1,"Earnings",200000,"PORT","Nebraska","Nebraska"
325,"C","Citigroup, UPS",2005,2005,"06/06/2005",1,"M&A",3900000,"PORT","New York","New York"
327,"COF","North Fork Bank (now Capital One Bank)",2005,2005,"17/09/2005",1,"M&A",9000,"PORT","New York","Virginia"
328,"YGRO","RBC Dain Rauscher",2005,2005,"28/09/2005",1,"Investigation",300000,"INSD","Minnesota","Toronto"
330,"GUID","Guidance Software, Inc.",2005,2005,"20/12/2005",1,"Other",3800,"HACK","California","California"
331,"F","Ford Motor Co.",2005,2005,"22/12/2005",1,"Earnings",70000,"STAT","Michigan","Michigan"
332,"FDX","FedEx",2005,2006,"04/02/2006",1,"Earnings",1100,"DISC","California","Tennessee"
333,"HON","Honeywell International",2006,2006,"31/01/2006",1,"Earnings",19000,"UNKN","New Jersey","New Jersey"
334,"GM","General Motors (GM)",2006,2006,"14/03/2006",1,"Other",100,"INSD","Michigan","Michigan"
335,"ED","Con Edison",2006,2006,"01/04/2006",1,"M&A",15000,"PORT","New York","New York"
336,"AH","Ahold USA, parent company of Stop & Shop, Giant stores and Tops stores via subcontractor Electronic Data Systems (EDS)",2006,2006,"02/06/2006",1,"Earnings",92000,"PORT","Maryland","Amsterdam"
337,"UNP","Union Pacific",2006,2006,"16/06/2006",1,"Earnings",30000,"PORT","Nebraska","Nebraska"
338,"ING","ING U.S. Financial Services, Jackson Health System",2006,2006,"18/06/2006",1,"Investigation",13000,"PORT","Florida","Amsterdam"
339,"EFX","Equifax",2006,2006,"20/06/2006",1,"Investigation",2500,"PORT","Georgia","Georgia"
340,"ALL","AllState Insurance Huntsville branch",2006,2006,"29/06/2006",1,"Investigation",27000,"STAT","Alabama","Illinois"
341,"NNI","Nelnet Inc., UPS",2006,2006,"18/07/2006",1,"Earnings",188000,"PORT","Nebraska","Nebraska"
342,"AWI","Armstrong World Industries, Deloitte & Touche",2006,2006,"25/07/2006",1,"M&A",12000,"PORT","Pennsylvania","Pennsylvania"
343,"EFX","Equifax",2010,2010,"11/02/2010",1,"Earnings",35,"DISC","Georgia","Georgia"
345,"TM","Toyota",2006,2006,"04/08/2006",1,"Investigation",1500,"PORT","Texas","California"
346,"AOL","American Online (AOL)",2006,2006,"06/08/2006",1,"Other",650000,"DISC","New York","New York"
349,"HRB","H&R Block",2009,2010,"23/03/2010",1,"Earnings",60,"INSD","Illinois","Missouri"
350,"MOVI","Movie Gallery US",2006,2006,"25/09/2006",1,"Investigation",3800,"PHYS","North Carolina","Oregon"
351,"TMUS","T-Mobile USA Inc.",2006,2006,"14/10/2006",1,"Other",43000,"PORT","Washington","Washington"
352,"HRH","Hilb, Rogal & Hobbs, Villanova University",2006,2006,"02/11/2006",1,"Earnings",1243,"PORT","Pennsylvania","Virginia"
358,"BA","Boeing",2006,2006,"13/12/2006",1,"Investigation",382000,"PORT","Washington","Illinois"
359,"MGI","MoneyGram International",2007,2007,"12/01/2007",1,"Earnings",79000,"HACK","Minnesota","Texas"
360,"TJX","TJ stores (TJX), including TJMaxx, Marshalls, Winners, HomeSense, AJWright, KMaxx, and possibly Bob's Stores in U.S. & Puerto Rico -- Winners and HomeGoods stores in Canada -- and possibly TKMaxx stores in UK and Ireland",2006,2007,"17/01/2007",1,"Earnings",100000000,"HACK","Massachusetts","Massachusetts"
361,"KBH","KB Home",2007,2007,"18/01/2007",1,"Earnings",2700,"STAT","South Carolina","Michigan"
362,"PJC","Piper Jaffrey",2007,2007,"08/02/2007",1,"Other",1000,"DISC","Minnesota","Minnesota"
369,"FNFV","Fidelity National Information Services/Certegy Check Services Inc.",2007,2007,"03/07/2007",1,"M&A",8500000,"INSD","Florida","Florida"
371,"PRU","Prudential Financial Inc.",2006,2006,"06/02/2006",1,"Earnings",1000,"DISC","New Jersey","New Jersey"
372,"WU","Western Union",2007,2007,"17/07/2007",1,"Investigation",20000,"HACK","Colorado","Colorado"
373,"NFLX","Netflix",2010,2010,"01/01/2010",1,"Earnings",100000000,"UNKN","California","California"
375,"EDS","Electronic Data Systems",2007,2007,"07/08/2007",1,"Earnings",498,"INSD","Alabama","Texas"
376,"MWW","Monster.com",2007,2007,"23/08/2007",1,"Other",146000,"HACK","Massachusetts","Massachusetts"
377,"AMTD","TD Ameritrade Holding Corp.",2007,2007,"14/09/2007",1,"M&A",6300000,"HACK","Nebraska","Nebraska"
379,"HD","Home Depot",2006,2007,"17/10/2007",1,"Other",10000,"PORT","Massachusetts","Georgia"
380,"LNC","Lincoln National Corporation (Lincoln Financial)",2010,2010,"14/01/2010",1,"Other",1200000,"INSD","Pennsylvania","Pennsylvania"
382,"KRFT","Kraft Foods",2008,2008,"03/03/2008",1,"Earnings",20000,"PORT","Illinois","Illinois"
383,"A","Agilent Technologies",2008,2008,"22/03/2008",1,"Earnings",51000,"PORT","California","California"
384,"AAP","Advance Auto Parts",2008,2008,"31/03/2008",1,"Earnings",56000,"HACK","Virginia","Virginia"
